State,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,Median AQI,Avg_Temp
Arizona,2017,4706,2891,1647,149,16,2,1,148.92307692307693,45.30769230769231,64.4287602544567
Arizona,2018,4733,2969,1587,150,13,6,8,206.76923076923077,44.46153846153846,63.82647256655501
Arizona,2019,4727,3190,1442,83,2,3,7,166.15384615384616,43.07692307692308,62.08667000129958
Arizona,2020,4707,3039,1343,168,78,76,3,244.30769230769232,48.53846153846154,64.65579187168217
Arizona,2021,4695,2856,1524,170,71,73,1,163.46153846153845,50.38461538461539,64.10307668266933
Arizona,2022,4720,3150,1393,144,22,8,3,172.0,43.61538461538461,62.484039026454205
Arizona,2023,4723,3040,1527,133,19,2,2,205.3846153846154,43.84615384615385,63.30584952353265
Arizona,2024,2351,1558,733,56,2,2,0,122.6923076923077,40.0,62.29335989127932
Arkansas,2010,3540,1930,1570,38,2,0,0,101.17647058823529,49.529411764705884,61.394835314371264
Arkansas,2011,3438,1874,1509,53,2,0,0,99.47058823529412,49.0,62.31386021917809
Arkansas,2012,2899,1700,1145,50,4,0,0,105.21428571428571,48.0,64.84482162021858
Arkansas,2013,2718,1858,855,5,0,0,0,93.9090909090909,44.09090909090909,62.25180096694216
Arkansas,2014,2752,2021,728,3,0,0,0,89.18181818181819,42.45454545454545,61.846803657534245
Arkansas,2015,2731,2037,692,2,0,0,0,85.36363636363636,41.27272727272727,64.00585396969697
Arkansas,2016,2778,2094,681,2,1,0,0,85.0909090909091,42.45454545454545,63.93245270684932
Arkansas,2017,3022,1975,1045,2,0,0,0,85.9090909090909,44.09090909090909,66.57375223013699
Arkansas,2018,3120,2090,1021,9,0,0,0,95.08333333333333,42.833333333333336,64.46688416986302
Arkansas,2019,3088,2067,1019,2,0,0,0,85.3076923076923,43.76923076923077,64.0971519150685
Arkansas,2020,2768,2116,646,6,0,0,0,96.45454545454545,39.18181818181818,63.705145707650274
Arkansas,2021,2754,1897,850,7,0,0,0,90.18181818181819,42.63636363636363,68.17797226477023
Arkansas,2022,2747,1953,783,10,1,0,0,104.54545454545455,42.09090909090909,73.07554943956043
Arkansas,2023,2633,1807,809,16,1,0,0,103.81818181818181,43.90909090909091,72.6854396043956
California,2010,18571,9926,7261,1054,282,25,23,322.64150943396226,48.75471698113208,59.301925539653304
California,2011,18670,8333,8604,1314,379,20,20,506.64814814814815,53.31481481481482,58.89146099319381
California,2012,18885,9131,7947,1396,368,21,22,304.462962962963,52.25925925925926,60.95884820412829
California,2013,18695,8272,8908,1225,269,12,9,226.85185185185185,53.48148148148148,60.03993035051163
California,2014,18601,8448,8556,1283,290,11,13,216.9814814814815,52.51851851851852,62.128900739936526
California,2015,18587,8782,8391,1138,245,14,17,254.8148148148148,52.648148148148145,61.31623561482109
California,2016,19000,9606,7867,1226,247,22,32,283.14814814814815,50.074074074074076,62.62625821896582
California,2017,18938,8944,8225,1316,365,58,30,316.0,52.56603773584906,62.13701682881807
California,2018,19038,8710,8512,1230,480,90,16,252.0943396226415,52.56603773584906,61.76290919009211
California,2019,19063,11450,6742,703,141,12,15,234.39622641509433,46.716981132075475,60.89413000041072
California,2020,19255,9770,7418,1152,701,149,65,331.0377358490566,51.84905660377358,62.36320945356577
California,2021,19023,9437,7986,1069,423,67,41,305.92452830188677,51.22641509433962,62.05460184110466
California,2022,18810,10060,7639,838,205,30,38,379.36538461538464,49.28846153846154,62.32989898801193
California,2023,18801,10824,7059,701,167,31,19,228.34615384615384,47.65384615384615,60.84573359003354
California,2024,4840,3315,1434,80,8,0,3,107.19148936170212,40.255319148936174,55.03324311632658
Colorado,2010,8804,6156,2475,164,9,0,0,118.9375,37.46875,50.3871602805616
Colorado,2011,9125,5918,2910,282,13,1,1,130.4375,39.6875,46.9151446735065
Colorado,2012,9058,5991,2670,369,27,1,0,126.06451612903226,41.096774193548384,51.20366749276265
Colorado,2013,9133,6310,2592,209,18,3,1,167.16666666666666,40.36666666666667,47.70067641670892
Colorado,2014,9068,6861,2114,85,7,1,0,105.16666666666667,37.233333333333334,48.9716642433837
Colorado,2015,8989,6806,2074,102,5,2,0,110.03225806451613,36.096774193548384,49.1392429928486
Colorado,2016,9220,7019,2114,80,6,1,0,104.21875,36.03125,50.610137512603316
Colorado,2017,9371,6656,2605,107,3,0,0,99.96875,37.4375,50.815360347911856
Colorado,2018,9701,6324,3085,263,25,4,0,129.84848484848484,40.27272727272727,50.39274402955918
Colorado,2019,8753,6118,2565,68,2,0,0,98.29032258064517,38.096774193548384,48.21204117525071
Colorado,2020,8873,6144,2522,185,21,1,0,124.03225806451613,38.25806451612903,51.48281068488949
Colorado,2021,9122,5968,2712,401,40,0,1,144.61290322580646,39.70967741935484,52.431496221943284
Colorado,2022,9323,6708,2473,136,4,1,1,122.93548387096774,39.225806451612904,49.00415773501489
Colorado,2023,9406,6270,3030,92,13,1,0,122.06666666666666,41.46666666666667,49.297101321641605
Colorado,2024,3827,3111,710,6,0,0,0,83.1923076923077,37.34615384615385,46.87701696059161
Connecticut,2010,2509,1733,682,85,9,0,0,152.625,41.875,51.462906540146264
Connecticut,2011,2251,1622,562,47,20,0,0,164.0,41.5,31.947540011510515
Connecticut,2012,2519,1458,932,103,26,0,0,170.25,46.625,53.3433593707843
Connecticut,2013,2520,1325,1116,64,15,0,0,156.75,47.875,51.35343103640491
Connecticut,2014,2529,1572,901,53,3,0,0,132.25,45.125,50.30833439060336
Connecticut,2015,2541,1638,809,84,10,0,0,149.5,44.5,51.2513795089812
Connecticut,2016,2529,1756,689,68,16,0,0,164.625,42.875,53.11576402195744
Connecticut,2017,2581,1964,561,45,11,0,0,151.5,40.625,52.345316145296195
Connecticut,2018,2552,1935,552,56,9,0,0,144.0,39.875,52.13152384426008
Connecticut,2019,2601,2029,512,54,6,0,0,131.625,41.125,54.00898187337145
Connecticut,2020,2595,1975,588,28,4,0,0,124.75,41.0,53.3925137014993
Connecticut,2021,2589,1941,589,50,9,0,0,142.875,40.375,53.15382809595524
Connecticut,2022,2600,2009,543,46,2,0,0,125.375,40.5,52.534370700913705
Connecticut,2023,2602,1872,665,43,20,2,0,171.625,41.625,53.39064557295138
Connecticut,2024,665,596,69,0,0,0,0,60.875,37.25,37.181303760180924
Delaware,2011,1095,649,407,32,7,0,0,177.0,46.333333333333336,63.435273907173
Delaware,2012,1074,605,410,49,10,0,0,177.66666666666666,46.666666666666664,58.20922050415512
Delaware,2013,1087,625,451,11,0,0,0,123.0,47.0,56.29761804129794
Delaware,2014,1094,569,512,12,1,0,0,122.0,49.666666666666664,53.83470911111111
Delaware,2015,1095,646,436,12,1,0,0,129.0,47.0,55.52683998513012
Delaware,2016,1096,704,377,14,1,0,0,139.66666666666666,45.666666666666664,57.7983227295082
Delaware,2017,1091,702,377,12,0,0,0,122.33333333333333,45.333333333333336,57.54675288286214
