State,County,Year,Avg_Temp
Arkansas,Pulaski,2022,73.07554943956043
Arkansas,Pulaski,2023,72.6854396043956
California,Amador,2010,56.5048831369863
California,Amador,2011,55.520784610958906
California,Amador,2012,59.67520365131579
California,Amador,2015,58.12696179084968
California,Amador,2016,58.75407092076503
California,Amador,2017,50.92327315299027
California,Amador,2018,50.36609817193948
California,Amador,2019,49.03355003703703
California,Amador,2020,50.767351410714284
California,Amador,2021,50.6278474774665
California,Amador,2022,50.140861337517435
California,Amador,2023,48.742752679411765
California,Amador,2024,40.2662309925926
California,Butte,2010,60.416294972876514
California,Butte,2011,59.460998684752745
California,Butte,2012,60.542361877971466
California,Butte,2013,64.06419899145298
California,Butte,2015,59.82740775819672
California,Butte,2016,65.39053915920915
California,Butte,2017,63.931553741284404
California,Butte,2018,63.92199338963532
California,Butte,2019,63.05577040245052
California,Butte,2020,64.42684447897624
California,Butte,2021,64.1790507821229
California,Butte,2022,63.960676552703944
California,Butte,2023,63.17442487320372
California,Butte,2024,51.593610483333336
California,Calaveras,2010,58.170960598337956
California,Calaveras,2011,57.26749689315068
California,Calaveras,2012,58.97061171311476
California,Calaveras,2013,61.482748996138994
California,Calaveras,2015,61.91766303804348
California,Calaveras,2016,59.44910658469945
California,Calaveras,2017,59.572305690807795
California,Calaveras,2018,58.570229813698624
California,Calaveras,2019,57.01423460773481
California,Calaveras,2020,58.6693548715847
California,Calaveras,2021,59.334783519337016
California,Calaveras,2022,77.70577327472527
California,Calaveras,2023,94.76154287671234
California,Calaveras,2024,47.45900063333333
California,Colusa,2010,60.854933123287665
California,Colusa,2011,60.024999950684936
California,Colusa,2012,63.36169193134329
California,Colusa,2015,62.76063076821192
California,Colusa,2016,63.28238559562841
California,Colusa,2017,63.28306158146067
California,Colusa,2018,63.000621413698624
California,Colusa,2019,62.64858488493151
California,Colusa,2020,64.01527950819673
California,Colusa,2021,63.62938561917809
California,Colusa,2022,63.710235823255815
California,Colusa,2023,62.17788068870524
California,Colusa,2024,54.55616794214876
California,Del Norte,2010,52.261180692073175
California,Del Norte,2011,51.09698720538721
California,Del Norte,2012,52.029803809677425
California,Del Norte,2013,51.807123547692306
California,Del Norte,2014,55.25216986666667
California,El Dorado,2010,54.425475202185794
California,El Dorado,2011,54.092408415512466
California,El Dorado,2012,56.605122612226275
California,El Dorado,2013,58.13180883608361
California,El Dorado,2016,59.205436362299466
California,El Dorado,2017,56.69173039689781
California,El Dorado,2018,56.46374639980732
California,El Dorado,2019,55.178887925857275
California,El Dorado,2020,57.644109161737525
California,El Dorado,2021,58.0182244965035
California,El Dorado,2022,54.80611949658537
California,El Dorado,2023,54.01131999433428
California,El Dorado,2024,42.38125866824644
California,Fresno,2010,62.7023600217765
California,Fresno,2011,62.20834590904109
California,Fresno,2012,64.51430834287032
California,Fresno,2013,64.04850647284191
California,Fresno,2014,66.04068333596214
California,Fresno,2015,64.95840342952275
California,Fresno,2016,65.71344777697261
California,Fresno,2017,65.36053891379309
California,Fresno,2018,65.16671438577436
California,Fresno,2019,64.54690570154374
California,Fresno,2020,65.19674053112175
California,Fresno,2021,64.94672391167387
California,Fresno,2022,65.62851177847006
California,Fresno,2023,64.64874552470356
California,Fresno,2024,59.247543805225654
California,Glenn,2010,61.11669643287671
California,Glenn,2011,60.44231683835616
California,Glenn,2012,62.138789882513656
California,Glenn,2013,57.29139076821192
California,Glenn,2015,59.26886490163935
California,Glenn,2016,62.95976834972677
California,Glenn,2017,63.081739795013846
California,Glenn,2018,62.63337815469613
California,Glenn,2019,62.18927090027701
California,Glenn,2020,63.93303091530054
California,Glenn,2021,63.5997037534626
California,Glenn,2022,64.05542619382022
California,Glenn,2023,61.73198911232877
California,Glenn,2024,51.065343712499995
California,Humboldt,2010,54.563347100671145
California,Humboldt,2011,51.76014971913581
California,Humboldt,2012,54.08729603254438
California,Humboldt,2013,53.296102703470034
California,Humboldt,2014,56.907656745398775
California,Humboldt,2015,55.76710506629834
California,Imperial,2010,74.34203444857434
California,Imperial,2011,76.8007366015873
California,Imperial,2012,76.56377939072465
California,Imperial,2013,73.60625159223301
California,Imperial,2014,76.05763828793418
California,Imperial,2015,75.41676860058027
California,Imperial,2016,75.70260704553735
California,Imperial,2017,75.95710172420091
California,Imperial,2018,75.47637947671234
California,Imperial,2019,76.93744979242979
California,Imperial,2020,78.45129360189574
California,Imperial,2021,78.76386246608041
California,Imperial,2022,75.92531925279789
California,Imperial,2023,72.81888964180929
California,Imperial,2024,68.29209530921052
California,Inyo,2010,60.087955796476685
California,Inyo,2011,60.575695275675685
California,Inyo,2012,63.97415249714812
California,Inyo,2013,63.25911560197934
California,Inyo,2014,63.94077598956715
California,Inyo,2015,63.35890888108883
California,Inyo,2016,64.11698055839742
California,Inyo,2017,62.99669299291408
California,Inyo,2018,63.70898035321101
California,Inyo,2019,61.34821373800471
California,Inyo,2020,63.43368417278694
California,Inyo,2021,65.51186899504445
California,Inyo,2022,63.240848950344585
California,Inyo,2023,60.426533993512344
California,Inyo,2024,59.64523227872418
California,Kern,2010,65.24063386628644
California,Kern,2011,63.3754915602165
California,Kern,2012,66.06805016597667
California,Kern,2013,64.50788250802752
California,Kern,2014,65.1827119930459
California,Kern,2015,63.44929358120722
California,Kern,2016,66.11878857521802
California,Kern,2017,65.09652306353084
California,Kern,2018,65.88294683397683
California,Kern,2019,64.12764248943857
